City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,santa rosalia,27.3167,-112.2833,300.67,27,91,3.19,MX,1686679538
153,at taj,24.2049,23.2857,306.49,18,0,7.16,LY,1686679303
154,tocopilla,-22.092,-70.1979,291.55,64,2,5.09,CL,1686679539
155,namtsy,62.7161,129.6658,277.82,97,100,3.52,RU,1686679540
156,ishigaki,24.3448,124.1572,299.55,91,100,7.93,JP,1686679540
157,margaret river,-33.95,115.0667,287.43,73,87,6.81,AU,1686679540
158,bulungu,-4.55,18.6,297.55,81,94,1.09,CD,1686679541
159,lebu,-37.6167,-73.65,285.28,59,88,4.92,CL,1686679541
160,colares,38.7992,-9.4469,295.7,67,40,8.05,PT,1686679542
161,ayvacik,39.6011,26.4047,293.84,71,56,3.98,TR,1686679542
162,alofi,-19.0595,-169.9187,295.98,75,96,6.29,NU,1686679542
163,taoudenni,22.6783,-3.9836,314.85,9,1,4.34,ML,1686679543
164,yabelo,4.8833,38.0833,290.75,69,94,1.57,ET,1686679543
165,chiang klang,19.2938,100.8617,297.27,98,93,1.05,TH,1686679544
166,piti village,13.4626,144.6933,300.64,89,20,3.6,GU,1686679545
167,atar,20.5169,-13.0499,313.24,10,8,5.08,MR,1686679545
168,mossel bay,-34.1831,22.146,289.79,62,100,11.17,ZA,1686679546
169,miyaly,48.8844,53.7836,301.96,24,92,6.53,KZ,1686679546
170,penalva,-3.2942,-45.1736,302.23,71,47,0.28,BR,1686679547
171,utrik,11.2278,169.8474,300.76,82,100,9.36,MH,1686679548
172,hammerfest,70.6634,23.6821,279.4,75,75,9.77,NO,1686679534
173,mineros,-17.1167,-63.2333,284.82,60,100,5.54,BO,1686679548
174,badger,64.8,-147.5333,286.08,67,40,2.57,US,1686679549
175,hithadhoo,-0.6,73.0833,301.75,77,33,3.37,MV,1686679549
176,bac kan,22.1333,105.8333,297.83,98,100,1.43,VN,1686679530
177,ola,59.5833,151.2833,280.26,90,100,0.4,RU,1686679550
178,prado,-17.3411,-39.2208,299.0,69,6,4.27,BR,1686679551
179,high rock,26.6208,-78.2833,303.16,72,91,4.47,BS,1686679552
180,laojunmiao,39.8333,97.7333,292.94,19,59,4.67,CN,1686679552
181,qaqortoq,60.7167,-46.0333,279.45,99,100,1.59,GL,1686679552
182,sakaiminato,35.55,133.2333,293.85,90,100,2.15,JP,1686679553
183,port blair,11.6667,92.75,300.99,85,94,7.5,IN,1686679553
184,mbandaka,0.0487,18.2603,295.97,90,59,0.58,CD,1686679553
185,namibe,-15.1961,12.1522,290.97,83,45,2.24,AO,1686679554
186,banda aceh,5.5577,95.3222,300.12,77,33,5.97,ID,1686679458
187,st. john's,47.5649,-52.7093,284.7,90,100,3.58,CA,1686679554
188,rongelap,11.1635,166.8941,300.86,80,100,9.24,MH,1686679555
189,noumea,-22.2763,166.4572,293.15,99,3,2.95,NC,1686679472
190,haiku-pauwela,20.9219,-156.3051,298.17,74,40,7.2,US,1686679556
191,puerto rico,-26.796,-55.024,281.94,57,100,1.54,AR,1686679414
192,walvis bay,-22.9575,14.5053,287.09,69,1,6.12,NA,1686679556
193,port mathurin,-19.6833,63.4167,298.11,76,8,9.26,MU,1686679557
194,mandiana,10.6333,-8.6833,302.85,61,100,0.88,GN,1686679557
195,egilsstadir,65.2653,-14.3948,291.53,45,57,5.35,IS,1686679557
